Entity,Code,Year,Solar capacity (total) (GW),Solar_capacity_total_MW
United Kingdom,GBR,2013,2.937,2937.0
United Kingdom,GBR,2014,5.5280004,5528.0004
United Kingdom,GBR,2015,9.601001,9601.001
United Kingdom,GBR,2016,11.9140005,11914.0005
United Kingdom,GBR,2017,12.76,12760.0
United Kingdom,GBR,2018,13.06,13060.0
United Kingdom,GBR,2019,13.345,13345.0
United Kingdom,GBR,2020,13.551001,13551.001
United Kingdom,GBR,2021,13.915001,13915.001
United Kingdom,GBR,2022,14.651001,14651.001
United Kingdom,GBR,2023,15.656501,15656.501
